[0.000000] (-) TimerEvent: {}
[0.001489] (-) JobUnselected: {'identifier': 'astra_camera'}
[0.001620] (-) JobUnselected: {'identifier': 'astra_camera_msgs'}
[0.001794] (-) JobUnselected: {'identifier': 'costmap_queue'}
[0.001872] (-) JobUnselected: {'identifier': 'dwb_core'}
[0.001913] (-) JobUnselected: {'identifier': 'dwb_critics'}
[0.001952] (-) JobUnselected: {'identifier': 'dwb_msgs'}
[0.002010] (-) JobUnselected: {'identifier': 'dwb_plugins'}
[0.002049] (-) JobUnselected: {'identifier': 'fast_lio'}
[0.002083] (-) JobUnselected: {'identifier': 'libuvc'}
[0.002117] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.002167] (-) JobUnselected: {'identifier': 'nav2_behavior_tree'}
[0.002571] (-) JobUnselected: {'identifier': 'nav2_behaviors'}
[0.002609] (-) JobUnselected: {'identifier': 'nav2_bringup'}
[0.002675] (-) JobUnselected: {'identifier': 'nav2_bt_navigator'}
[0.002792] (-) JobUnselected: {'identifier': 'nav2_collision_monitor'}
[0.002854] (-) JobUnselected: {'identifier': 'nav2_common'}
[0.002890] (-) JobUnselected: {'identifier': 'nav2_constrained_smoother'}
[0.002926] (-) JobUnselected: {'identifier': 'nav2_controller'}
[0.002977] (-) JobUnselected: {'identifier': 'nav2_core'}
[0.003014] (-) JobUnselected: {'identifier': 'nav2_dwb_controller'}
[0.003244] (-) JobUnselected: {'identifier': 'nav2_graceful_controller'}
[0.003312] (-) JobUnselected: {'identifier': 'nav2_lifecycle_manager'}
[0.003418] (-) JobUnselected: {'identifier': 'nav2_map_server'}
[0.003479] (-) JobUnselected: {'identifier': 'nav2_mppi_controller'}
[0.003515] (-) JobUnselected: {'identifier': 'nav2_msgs'}
[0.003548] (-) JobUnselected: {'identifier': 'nav2_navfn_planner'}
[0.003597] (-) JobUnselected: {'identifier': 'nav2_planner'}
[0.003633] (-) JobUnselected: {'identifier': 'nav2_regulated_pure_pursuit_controller'}
[0.003926] (-) JobUnselected: {'identifier': 'nav2_rotation_shim_controller'}
[0.004004] (-) JobUnselected: {'identifier': 'nav2_rviz_plugins'}
[0.004070] (-) JobUnselected: {'identifier': 'nav2_simple_commander'}
[0.004134] (-) JobUnselected: {'identifier': 'nav2_smac_planner'}
[0.004196] (-) JobUnselected: {'identifier': 'nav2_smoother'}
[0.004259] (-) JobUnselected: {'identifier': 'nav2_theta_star_planner'}
[0.004318] (-) JobUnselected: {'identifier': 'nav2_util'}
[0.004354] (-) JobUnselected: {'identifier': 'nav2_velocity_smoother'}
[0.004388] (-) JobUnselected: {'identifier': 'nav2_voxel_grid'}
[0.004420] (-) JobUnselected: {'identifier': 'nav2_waypoint_follower'}
[0.004452] (-) JobUnselected: {'identifier': 'nav_2d_msgs'}
[0.004483] (-) JobUnselected: {'identifier': 'nav_2d_utils'}
[0.004567] (-) JobUnselected: {'identifier': 'navigation2'}
[0.004602] (-) JobUnselected: {'identifier': 'navigation_manager'}
[0.004635] (-) JobUnselected: {'identifier': 'robot_kcf'}
[0.004701] (-) JobUnselected: {'identifier': 'serial'}
[0.004765] (-) JobUnselected: {'identifier': 'turn_on_wheeltec_robot'}
[0.004826] (-) JobUnselected: {'identifier': 'usb_cam'}
[0.004884] (-) JobUnselected: {'identifier': 'wheeltec_robot_msg'}
[0.004942] (-) JobUnselected: {'identifier': 'wheeltec_robot_urdf'}
[0.005002] (-) JobUnselected: {'identifier': 'yolo_detector'}
[0.005063] (-) JobUnselected: {'identifier': 'yolov5_lib'}
[0.005134] (nav2_costmap_2d) JobQueued: {'identifier': 'nav2_costmap_2d', 'dependencies': OrderedDict([('nav2_common', '/Pav-S_ws/install/nav2_common'), ('nav2_msgs', '/Pav-S_ws/install/nav2_msgs'), ('nav2_voxel_grid', '/Pav-S_ws/install/nav2_voxel_grid'), ('nav2_util', '/Pav-S_ws/install/nav2_util'), ('nav2_lifecycle_manager', '/Pav-S_ws/install/nav2_lifecycle_manager'), ('nav2_map_server', '/Pav-S_ws/install/nav2_map_server')])}
[0.005247] (nav2_costmap_2d) JobStarted: {'identifier': 'nav2_costmap_2d'}
[0.031235] (nav2_costmap_2d) JobEnded: {'identifier': 'nav2_costmap_2d', 'rc': 1}
[0.041949] (-) EventReactorShutdown: {}
