               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096546,            0.055135,            0.066302,            0.058052,             0.25493,            0.036248,            0.009966,            0.084578,            0.048982,            0.061958,            0.070492,           0.0032787,           0.0032787
                   1,            0.069524,            0.042056,            0.055792,             0.16195,             0.23498,            0.087038,            0.028353,            0.064856,            0.029677,            0.054284,            0.040426,           0.0065466,           0.0065466
                   2,            0.066793,            0.034546,            0.051987,             0.19234,             0.33768,             0.12558,            0.041932,            0.059469,            0.028195,             0.05146,            0.010295,           0.0097484,           0.0097484
                   3,             0.05814,            0.035632,            0.051033,             0.21449,             0.44038,             0.16605,            0.070585,             0.05353,            0.026047,             0.05043,            0.009703,            0.009703,            0.009703
                   4,            0.051546,            0.034049,            0.050234,             0.22764,             0.56276,             0.25057,            0.097078,             0.04425,            0.024031,            0.049436,            0.009703,            0.009703,            0.009703
                   5,            0.046355,            0.030062,            0.048784,             0.20365,             0.60183,             0.29621,             0.12912,            0.043072,            0.024399,              0.0484,            0.009604,            0.009604,            0.009604
                   6,             0.04508,            0.030821,             0.04682,             0.17907,             0.55121,             0.29229,             0.13385,            0.040026,            0.023343,            0.047105,            0.009505,            0.009505,            0.009505
                   7,            0.041907,            0.028169,            0.045862,             0.23074,             0.55428,             0.33984,             0.18091,            0.038336,            0.023273,            0.046345,            0.009406,            0.009406,            0.009406
                   8,            0.041183,            0.030804,            0.044963,             0.21992,             0.58376,             0.34979,             0.17813,            0.033575,            0.022963,            0.045813,            0.009307,            0.009307,            0.009307
                   9,            0.038979,            0.029986,            0.045123,             0.22778,             0.59819,             0.34819,             0.18517,             0.03734,            0.022844,            0.045238,            0.009208,            0.009208,            0.009208
                  10,            0.038495,            0.030149,            0.044095,             0.24069,             0.66121,             0.35731,             0.19245,            0.035483,            0.022837,            0.044934,            0.009109,            0.009109,            0.009109
                  11,            0.037038,            0.027055,            0.043935,             0.28555,             0.63916,              0.3809,             0.21491,             0.03367,            0.023797,            0.044233,             0.00901,             0.00901,             0.00901
                  12,             0.03686,            0.029417,            0.042243,             0.36269,             0.56978,              0.4041,             0.21557,             0.03354,            0.022515,            0.043667,            0.008911,            0.008911,            0.008911
                  13,            0.036137,            0.031141,            0.041946,             0.26968,             0.60363,             0.38676,             0.19175,            0.034211,            0.023043,            0.042891,            0.008812,            0.008812,            0.008812
                  14,            0.035603,            0.028359,            0.041654,             0.42272,             0.61755,             0.43485,             0.25407,            0.030273,            0.022797,            0.042257,            0.008713,            0.008713,            0.008713
                  15,            0.034716,            0.029017,            0.041047,             0.41985,             0.60543,             0.44054,             0.26257,            0.030481,            0.023294,            0.041669,            0.008614,            0.008614,            0.008614
                  16,            0.034218,             0.03154,             0.04075,             0.40023,              0.6277,             0.45225,             0.24747,            0.031269,            0.022598,            0.041515,            0.008515,            0.008515,            0.008515
